parcelid	land use	zoning	assessed total	appraised total
03720001750	Commercial  	D. Multiple Family Residential	$3,200.00	$10,000.00
02190000800	Commercial  	I. Central Business District	$104,400.00	$326,300.00
07040001100	Commercial  	J. Industrial	$64,000.00	$200,000.00
06890000900	Commercial  	K. Unrestricted	$40,000.00	$125,000.00
05870001840	Commercial  	J. Industrial	$124,100.00	$387,800.00
02840000400	Commercial  	K. Unrestricted	$800.00	$2,500.00
06470000200	Commercial  	J. Industrial	$600.00	$1,900.00
06140000500	vacant residential lot  	J. Industrial	$340.00	$1,800.00
00160000200	Commercial  	L. Jefferson Memorial District	$53,200.00	$166,300.00
04650304200	single family units  	D. Multiple Family Residential	$24,970.00	$131,400.00
01600000300	Commercial  	L. Jefferson Memorial District	$128,800.00	$402,500.00
06310000300	single family units  	D. Multiple Family Residential	$24,430.00	$128,600.00
03910000960	vacant residential lot  	D. Multiple Family Residential	$9,790.00	$51,500.00
06280000800	vacant residential lot  	D. Multiple Family Residential	$150.00	$800.00
03920600120	single family units  	D. Multiple Family Residential	$31,880.00	$167,800.00
05120001000	Commercial  	I. Central Business District	$0.00	$0.00
05390000600	Commercial  	J. Industrial	$8,500.00	$26,600.00
07800001600	multi-building residential  	D. Multiple Family Residential	$44,860.00	$236,100.00
04390000600	Commercial  	K. Unrestricted	$23,300.00	$72,800.00
01480000730	Commercial  	I. Central Business District	$76,800.00	$240,000.00
04030002300	single family units  	D. Multiple Family Residential	$31,580.00	$166,200.00
03990581410	 	D. Multiple Family Residential		
06670001500	single family units  	D. Multiple Family Residential	$37,980.00	$199,900.00
02690000250	Commercial  	J. Industrial	$247,400.00	$773,100.00
05170000100				
05620003900	single family units  	D. Multiple Family Residential	$6,570.00	$34,600.00
04320000700	Commercial  	K. Unrestricted	$68,200.00	$213,100.00
04660301000	vacant residential lot  	D. Multiple Family Residential	$3,990.00	$21,000.00
03460000100	Commercial  	J. Industrial	$1,400.00	$4,400.00
04170000100	Commercial  		$0.00	$0.00
05270000600	Commercial  	I. Central Business District	$38,100.00	$119,100.00
07800003150	three family unit  	D. Multiple Family Residential	$65,020.00	$342,200.00
06360000800	vacant residential lot  	D. Multiple Family Residential	$60.00	$300.00
07780001150	two family unit  	D. Multiple Family Residential	$30,910.00	$162,700.00
03250000100	Commercial  	J. Industrial	$200.00	$600.00
06900000600	Commercial  	K. Unrestricted	$45,600.00	$142,500.00
06210001300	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
05980000300	Commercial  	J. Industrial	$900.00	$2,800.00
04650303210				
04840002540	single family units  	B. Two Family Residential	$46,990.00	$247,300.00
04440501000	Commercial  	K. Unrestricted	$0.00	$0.00
04670400100	Commercial  	C. Multiple Family Residential	$47,100.00	$147,200.00
06570001200	Commercial  	J. Industrial	$700.00	$2,200.00
02620002400	single family units  	D. Multiple Family Residential	$11,480.00	$60,400.00
05870002000	Commercial  	J. Industrial	$13,000.00	$40,600.00
05090000100	Commercial  	I. Central Business District	$112,000.00	$350,000.00
00180000910	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
04740300110	Commercial  	D. Multiple Family Residential	$3,000.00	$9,400.00
04660303750	vacant residential lot  	D. Multiple Family Residential	$530.00	$2,800.00
01610002000	Commercial  		$10,400.00	$32,500.00
03580000100	Commercial  		$15,400.00	$48,100.00
03730001700	single family units  	D. Multiple Family Residential	$16,070.00	$84,600.00
06630002700	multi-building residential  	D. Multiple Family Residential	$42,180.00	$222,000.00
04750000550	Commercial  	E. Multiple Family Residential	$61,300.00	$191,600.00
00500000400	Commercial  	L. Jefferson Memorial District	$2,000.00	$6,300.00
05520000240	Commercial  	D. Multiple Family Residential	$8,200.00	$25,600.00
06770000500	vacant residential lot  		$3,740.00	$19,700.00
06240000200	Commercial  	D. Multiple Family Residential	$1,500.00	$4,700.00
02100500100	Commercial  	I. Central Business District	$2,400,000.00	$7,500,000.00
00260000500	Commercial  	L. Jefferson Memorial District	$524,900.00	$1,640,300.00
07770000500	Commercial  	K. Unrestricted	$116,000.00	$362,500.00
06790001500	multi-building residential  	D. Multiple Family Residential	$42,810.00	$225,300.00
06030000510	Commercial  	J. Industrial	$5,700.00	$17,800.00
07240000200	Commercial  	K. Unrestricted	$7,400.00	$23,100.00
07060000500	Commercial  	K. Unrestricted	$17,300.00	$54,100.00
06230000300	vacant residential lot  	F. Neighborhood Commercial	$490.00	$2,600.00
05280080010	 	I. Central Business District		
06060000500	Commercial  	K. Unrestricted	$22,000.00	$68,800.00
05620003300	single family units  	D. Multiple Family Residential	$5,660.00	$29,800.00
04820902150				
04650401100	Commercial  	D. Multiple Family Residential	$97,900.00	$305,900.00
00710300650	Commercial  	K. Unrestricted	$21,300.00	$66,600.00
06340001800	vacant residential lot  	F. Neighborhood Commercial	$170.00	$900.00
00440400500	Commercial  	L. Jefferson Memorial District	$4,200.00	$13,100.00
02630000990	single family units  	D. Multiple Family Residential	$22,230.00	$117,000.00
03290000100	Commercial  	K. Unrestricted	$112,500.00	$351,600.00
05780000100	multi-family residential  	C. Multiple Family Residential	$666,180.00	$3,506,200.00
06820002150	vacant residential lot  	D. Multiple Family Residential	$3,800.00	$20,000.00
02290000100	Commercial  	K. Unrestricted	$20,700.00	$64,700.00
04750001440	single family units  	A. Single Family Residential	$32,070.00	$168,800.00
07280000200	Commercial  	J. Industrial	$311,700.00	$974,100.00
01240001500	Commercial  	I. Central Business District	$123,900.00	$387,200.00
06730100200	Commercial  	G. Local Commercial and Office	$0.00	$0.00
00770001200	Commercial  	L. Jefferson Memorial District	$6,100.00	$19,100.00
01520001400	Commercial  	I. Central Business District	$3,700.00	$11,600.00
01790000200	multi-family residential  	I. Central Business District	$11,400.00	$60,000.00
02710000700				
01600000900				
03540000100	Commercial  		$0.00	$0.00
03710000700	Commercial  	G. Local Commercial and Office	$70,400.00	$220,000.00
04850003000	single family units  	B. Two Family Residential	$47,290.00	$248,900.00
06220000750	three family unit  	D. Multiple Family Residential	$11,860.00	$62,400.00
04740301000	single family units  	D. Multiple Family Residential	$31,410.00	$165,300.00
05050000100	Commercial  	I. Central Business District	$0.00	$0.00
03950000140	single family units  	D. Multiple Family Residential	$33,460.00	$176,100.00
04820302000	Commercial  	D. Multiple Family Residential	$4,500.00	$14,100.00
06820000600	multi-building residential  	D. Multiple Family Residential	$37,620.00	$198,000.00
03370000100	Commercial  	K. Unrestricted, J. Industrial	$25,200.00	$78,800.00
01800000100	Commercial  	I. Central Business District	$992,000.00	$3,100,000.00
05660000100	Commercial  	J. Industrial	$26,400.00	$82,500.00
06240000800	vacant residential lot  	D. Multiple Family Residential	$170.00	$900.00
03390001100	vacant residential lot  	J. Industrial	$110.00	$600.00
06620000260	multi-family residential  	D. Multiple Family Residential	$234,840.00	$1,236,000.00
04820900600	single family units  	B. Two Family Residential	$53,540.00	$281,800.00
07180000500	Commercial  	G. Local Commercial and Office	$15,300.00	$47,800.00
00490000500	Commercial  		$20,100.00	$62,800.00
03860001400	two family unit  	D. Multiple Family Residential	$32,950.00	$173,400.00
06180000500	vacant residential lot  	C. Multiple Family Residential	$170.00	$900.00
03600001350	Commercial  	D. Multiple Family Residential	$900.00	$2,800.00
04750001820	single family units  	A. Single Family Residential	$26,890.00	$141,500.00
05960001900	Commercial  	G. Local Commercial and Office	$1,800.00	$5,600.00
01480000150	Commercial  	I. Central Business District	$108,200.00	$338,100.00
01500600300	Commercial  	I. Central Business District	$5,100.00	$15,900.00
03190000600	Commercial  	K. Unrestricted	$5,300.00	$16,600.00
06890000700	Commercial  	K. Unrestricted	$13,500.00	$42,200.00
05950002000	Commercial  	G. Local Commercial and Office	$4,300.00	$13,400.00
02380000220	Commercial  	K. Unrestricted	$29,400.00	$91,900.00
02800080310	 	I. Central Business District		
03440001100	Commercial  	J. Industrial	$32,200.00	$100,600.00
02190000600	Commercial  	I. Central Business District	$11,600.00	$36,300.00
