parcelid	land use	zoning	assessed total	appraised total
02160000100	Commercial  	I. Central Business District	$0.00	$0.00
03860000750	multi-family residential  	D. Multiple Family Residential	$48,180.00	$253,600.00
06180001650	single family units  	C. Multiple Family Residential	$22,420.00	$118,000.00
04670301610	Commercial  	D. Multiple Family Residential	$2,320.00	$12,200.00
06430000260	vacant residential lot  	D. Multiple Family Residential	$100.00	$500.00
02950000900	Commercial  	K. Unrestricted	$13,200.00	$41,300.00
03330000700	Commercial  	K. Unrestricted	$6,600.00	$20,600.00
05150000250	Commercial  	I. Central Business District	$59,800.00	$186,900.00
04850000400	single family units  	B. Two Family Residential	$50,880.00	$267,800.00
00150000500	Commercial  	L. Jefferson Memorial District	$76,700.00	$239,700.00
06320000400	two family unit  	D. Multiple Family Residential	$1,160.00	$6,100.00
06170000200	Commercial  	C. Multiple Family Residential	$4,400.00	$13,800.00
02870000300	Commercial  	K. Unrestricted	$0.00	$0.00
06440000500	Commercial  	J. Industrial	$17,500.00	$54,700.00
03400001700	vacant residential lot  	J. Industrial	$190.00	$1,000.00
07780000800	two family unit  	D. Multiple Family Residential	$29,200.00	$153,700.00
03900001800	single family units  	D. Multiple Family Residential	$35,830.00	$188,600.00
03380000600	Commercial  	J. Industrial	$14,100.00	$44,100.00
04690000600	Commercial  	I. Central Business District	$89,900.00	$280,900.00
07800002800				
05570001100	Commercial  	I. Central Business District	$16,600.00	$51,900.00
05830400500	Commercial  	I. Central Business District	$5,600.00	$17,500.00
03860002000	single family units  	D. Multiple Family Residential	$44,920.00	$236,400.00
04830303700	vacant residential lot  	D. Multiple Family Residential	$1,540.00	$8,100.00
04820903200	single family units  	C. Multiple Family Residential	$62,300.00	$327,900.00
06190500400	Commercial  	G. Local Commercial and Office	$2,500.00	$7,800.00
03850001900	vacant residential lot  	D. Multiple Family Residential	$3,520.00	$18,500.00
01000000400	Commercial  	L. Jefferson Memorial District	$4,736,000.00	$14,800,000.00
00250000200	Commercial  	L. Jefferson Memorial District	$0.00	$0.00
02210000160	Commercial  	I. Central Business District	$0.00	$0.00
06270000500	Commercial  	J. Industrial	$2,600.00	$8,100.00
00990080110	 	L. Jefferson Memorial District		
06060000120	Commercial  	K. Unrestricted	$28,200.00	$88,100.00
06740000200	vacant residential lot  		$11,120.00	$58,500.00
05220380170	 	I. Central Business District		
02800000800	Commercial  	I. Central Business District	$88,000.00	$275,000.00
03750000100	Commercial  	J. Industrial	$10,400.00	$32,500.00
00010000050	Commercial  		$4,400.00	$13,800.00
00410000900	Commercial  	L. Jefferson Memorial District	$1,200.00	$3,800.00
06660000800	two family unit  	G. Local Commercial and Office	$57,840.00	$304,400.00
04740301420	Commercial  	D. Multiple Family Residential	$1,500.00	$4,700.00
05240000100	Commercial  	I. Central Business District	$118,600.00	$370,600.00
05950001400	vacant residential lot  	C. Multiple Family Residential	$110.00	$600.00
07090000200	Commercial  	K. Unrestricted	$29,700.00	$92,800.00
03870600260	two family unit  	D. Multiple Family Residential	$33,690.00	$177,300.00
06710001300	multi-building residential  	D. Multiple Family Residential	$53,940.00	$283,900.00
04740300350	vacant residential lot  	D. Multiple Family Residential	$1,860.00	$9,800.00
05640400600	Commercial  	J. Industrial	$2,100.00	$6,600.00
04850002350	single family units  	B. Two Family Residential	$45,010.00	$236,900.00
03900002820	single family units  	D. Multiple Family Residential	$21,380.00	$112,500.00
06220001400	Commercial  	G. Local Commercial and Office	$2,800.00	$8,800.00
06090000200	Commercial  		$21,400.00	$66,900.00
07800002200	two family unit  	D. Multiple Family Residential	$51,600.00	$271,600.00
04310600700	Commercial  	J. Industrial	$92,400.00	$288,800.00
01290000200	Commercial  	I. Central Business District	$53,900.00	$168,400.00
03250001250	Commercial  	J. Industrial	$29,600.00	$92,500.00
07780000200	two family unit  	D. Multiple Family Residential	$7,370.00	$38,800.00
03900001200	vacant residential lot  	D. Multiple Family Residential	$2,830.00	$14,900.00
06660002550	single family units  	G. Local Commercial and Office	$14,170.00	$74,600.00
06250001500	Commercial  	J. Industrial	$1,100.00	$3,400.00
01000000260				
04210000110	Commercial  	K. Unrestricted	$5,000.00	$15,600.00
06230000140	vacant residential lot  	F. Neighborhood Commercial	$170.00	$900.00
03210000700	Commercial  	K. Unrestricted	$1,400.00	$4,400.00
07610000900	Commercial  	J. Industrial	$100,900.00	$315,300.00
03590001600	single family units  	D. Multiple Family Residential	$1,030.00	$5,400.00
06960000110	Commercial  	K. Unrestricted	$1,239,800.00	$3,874,400.00
00700000050	Commercial  	L. Jefferson Memorial District	$52,800,000.00	$165,000,000.00
04270000220	Commercial  	I. Central Business District	$36,800.00	$115,000.00
04640401710	single family units  	D. Multiple Family Residential	$26,960.00	$141,900.00
02200000350	Commercial  	I. Central Business District	$26,000.00	$81,300.00
06050000200				
05970000400	Commercial  	J. Industrial	$1,400.00	$4,400.00
01540000200	Commercial  		$28,700.00	$89,700.00
06820000820	single family units  	D. Multiple Family Residential	$39,880.00	$209,900.00
04830402850	vacant residential lot  	C. Multiple Family Residential	$4,810.00	$25,300.00
04220000450	Commercial  	K. Unrestricted	$23,700.00	$74,100.00
03950000300	two family unit  	D. Multiple Family Residential	$16,820.00	$88,500.00
03970000210	vacant residential lot  	D. Multiple Family Residential	$13,590.00	$71,500.00
04660302400	single family units  	D. Multiple Family Residential	$38,910.00	$204,800.00
06670002100	two family unit  	D. Multiple Family Residential	$28,940.00	$152,300.00
06240001150	vacant residential lot  	F. Neighborhood Commercial	$290.00	$1,500.00
06581300900	Commercial  	J. Industrial	$800.00	$2,500.00
05280000100	multi-family residential  	I. Central Business District	$77,080.00	$405,700.00
01720080210	Commercial  	I. Central Business District		
02790000100	Commercial  	I. Central Business District	$62,900.00	$196,600.00
06600400300	Commercial  	K. Unrestricted	$0.00	$0.00
06880000110	Commercial  	K. Unrestricted	$167,700.00	$524,100.00
06710001900	single family units  	D. Multiple Family Residential	$17,690.00	$93,100.00
02620001000	single family units  	D. Multiple Family Residential	$9,800.00	$51,600.00
01180000150				
04650300610	single family units  	D. Multiple Family Residential	$24,610.00	$129,500.00
06660000200	Commercial  	G. Local Commercial and Office	$7,300.00	$22,800.00
00410000300	Commercial  	L. Jefferson Memorial District	$3,600.00	$11,300.00
07430000400	Commercial  	J. Industrial	$164,300.00	$513,400.00
06350000500	multi-family residential  	D. Multiple Family Residential	$11,100.00	$58,400.00
03800000200	Commercial  	J. Industrial	$0.00	$0.00
02060601600	Commercial  	I. Central Business District	$2,820,600.00	$8,814,400.00
03920500510	Commercial  	D. Multiple Family Residential	$148,100.00	$462,800.00
05360000100	Commercial  	I. Central Business District	$89,100.00	$278,400.00
02670000100	Commercial  	H. Area Commercial	$43,600.00	$136,300.00
07810000100	multi-family residential  	D. Multiple Family Residential	$39,500.00	$207,900.00
05650000600	Commercial  	J. Industrial	$7,200.00	$22,500.00
03420000700	Commercial  	J. Industrial	$8,500.00	$26,600.00
03670000100	Commercial  	J. Industrial	$251,800.00	$786,900.00
06810000100	two family unit  	D. Multiple Family Residential	$21,070.00	$110,900.00
05420000110	Commercial  	J. Industrial	$626,700.00	$1,958,400.00
03340000600	Commercial  	K. Unrestricted	$800.00	$2,500.00
04170000520	Commercial  	I. Central Business District	$10,500.00	$32,800.00
03850001300				
04190000250	Commercial  	K. Unrestricted	$22,500.00	$70,300.00
06400001630				
03450000800	vacant residential lot  	J. Industrial	$130.00	$700.00
04660302000	vacant residential lot  	D. Multiple Family Residential	$3,330.00	$17,500.00
03330000900	Commercial  	K. Unrestricted	$16,200.00	$50,600.00
06560000100	Commercial  	J. Industrial	$42,100.00	$131,600.00
04750001690	single family units  	A. Single Family Residential	$33,860.00	$178,200.00
03860000950	vacant residential lot  	D. Multiple Family Residential	$2,740.00	$14,400.00
05520000260	Commercial  	D. Multiple Family Residential	$18,100.00	$56,600.00
04650301900	two family unit  	D. Multiple Family Residential	$20,050.00	$105,500.00
01280000250	Commercial  	I. Central Business District	$2,700.00	$8,400.00
06790000250	Commercial  	D. Multiple Family Residential	$62,000.00	$193,800.00
04720300200	vacant residential lot  	D. Multiple Family Residential	$380.00	$2,000.00
03240001200				
00500001350	Commercial  		$400.00	$1,300.00
05030001300	Commercial  	I. Central Business District	$112,500.00	$351,600.00
02790000500	Commercial  	I. Central Business District	$233,100.00	$728,400.00
06900001150	Commercial  	K. Unrestricted	$300.00	$900.00
05020001750	Commercial  	I. Central Business District	$9,764,000.00	$30,512,500.00
03900001600	vacant residential lot  	D. Multiple Family Residential	$4,750.00	$25,000.00
07780000600	multi-building residential  	D. Multiple Family Residential	$42,050.00	$221,300.00
06660002150	multi-building residential  	D. Multiple Family Residential	$72,690.00	$382,600.00
03400001900	vacant residential lot  	J. Industrial	$170.00	$900.00
04840002560	single family units  	B. Two Family Residential	$38,910.00	$204,800.00
03830001850	single family units  	D. Multiple Family Residential	$14,610.00	$76,900.00
04630400300	single family units  	D. Multiple Family Residential	$40,580.00	$213,600.00
07800002600	multi-building residential  	D. Multiple Family Residential	$65,820.00	$346,400.00
04310600300	Commercial  	J. Industrial	$33,200.00	$103,800.00
01550000250	Commercial  	I. Central Business District	$14,800.00	$46,300.00
06040000250	Commercial  	J. Industrial	$5,800.00	$18,100.00
02720000400				
00960000300	Commercial  	L. Jefferson Memorial District	$1,500,300.00	$4,688,400.00
03210000300	Commercial  	K. Unrestricted	$900.00	$2,800.00
03590001200	vacant residential lot  	D. Multiple Family Residential	$290.00	$1,500.00
04771400150	Commercial  	D. Multiple Family Residential	$83,700.00	$261,600.00
01700000450	Commercial  	I. Central Business District	$800.00	$2,500.00
03720000400	single family units  	D. Multiple Family Residential	$76,650.00	$403,400.00
07610000160	Commercial  	K. Unrestricted	$183,400.00	$573,100.00
04340000410	Commercial  	I. Central Business District	$264,000.00	$825,000.00
06810000500	single family units  	D. Multiple Family Residential	$47,880.00	$252,000.00
02420000300	Commercial  	K. Unrestricted	$500.00	$1,600.00
03340000200	Commercial  	K. Unrestricted	$3,900.00	$12,200.00
04170000120	Commercial  	I. Central Business District	$1,400.00	$4,400.00
07810000500	single family units  	D. Multiple Family Residential	$57,860.00	$304,500.00
05650000200	Commercial  	J. Industrial	$48,700.00	$152,200.00
02340000200	Commercial  	K. Unrestricted	$1,300.00	$4,100.00
01170001100				
04830303900	vacant residential lot  	D. Multiple Family Residential	$1,560.00	$8,200.00
04080000910	single family units  	D. Multiple Family Residential	$14,710.00	$77,400.00
04040001800	three family unit  	D. Multiple Family Residential	$18,220.00	$95,900.00
03850001700	single family units  	D. Multiple Family Residential	$46,970.00	$247,200.00
03300001750	Commercial  	K. Unrestricted	$3,500.00	$10,900.00
01480000710	Commercial  		$7,100.00	$22,200.00
06630001700	single family units  	D. Multiple Family Residential	$47,270.00	$248,800.00
03840001350	two family unit  	G. Local Commercial and Office	$48,200.00	$253,700.00
06730100820	Commercial  	G. Local Commercial and Office	$66,000.00	$206,300.00
06140001250	two family unit  	J. Industrial	$1,580.00	$8,300.00
05640400800	Commercial  	J. Industrial	$3,200.00	$10,000.00
01880000300	Commercial  	I. Central Business District	$6,600.00	$20,600.00
02620001400	single family units  	D. Multiple Family Residential	$10,300.00	$54,200.00
04630300120	Commercial  	I. Central Business District	$216,100.00	$675,300.00
03920600100	two family unit  	D. Multiple Family Residential	$30,360.00	$159,800.00
05820000100	Commercial  		$90,700.00	$283,400.00
07350000100	Commercial  	K. Unrestricted	$21,500.00	$67,200.00
02800000600	Commercial  	I. Central Business District	$145,600.00	$455,000.00
06310000320				
03260000800	Commercial  	J. Industrial	$7,300.00	$22,800.00
06660000600	Commercial  	G. Local Commercial and Office	$74,400.00	$232,500.00
00410000700	Commercial  	L. Jefferson Memorial District	$1,300.00	$4,100.00
01500500550	Commercial  	I. Central Business District	$172,700.00	$539,700.00
06350000100	Commercial  	F. Neighborhood Commercial	$1,800.00	$5,600.00
01640000100	Commercial  	I. Central Business District	$10,439,400.00	$32,623,100.00
03590001800	Commercial  	D. Multiple Family Residential	$32,000.00	$100,000.00
06170000600	vacant residential lot  	C. Multiple Family Residential	$80.00	$400.00
03210000900	Commercial  	K. Unrestricted	$25,100.00	$78,400.00
02570000800	Commercial  	D. Multiple Family Residential	$8,900.00	$27,800.00
01150000100	Commercial  	I. Central Business District	$2,560,000.00	$8,000,000.00
06440000100	Commercial  	J. Industrial	$18,100.00	$56,600.00
02610000050	Commercial  	D. Multiple Family Residential	$2,500.00	$7,800.00
01610000110	Commercial  	I. Central Business District	$32,300.00	$100,900.00
04660304100	single family units  	D. Multiple Family Residential	$23,050.00	$121,300.00
00150000100	Commercial  	L. Jefferson Memorial District	$77,800.00	$243,100.00
02170000150	Commercial  	I. Central Business District	$60,000.00	$187,500.00
01550000850	Commercial  	I. Central Business District	$84,200.00	$263,100.00
02140300400	Commercial  	K. Unrestricted	$27,100.00	$84,700.00
06610400950	Commercial  	K. Unrestricted	$37,800.00	$118,100.00
04630400900	single family units  	D. Multiple Family Residential	$23,310.00	$122,700.00
06260002200	Commercial  	D. Multiple Family Residential	$1,800.00	$5,600.00
07830001500				
03400001300	vacant residential lot  	J. Industrial	$230.00	$1,200.00
